bug_id,description_stemmed,Severity,Severity_category
29769,aspectj ajd build option adapt buildoptionsadapt interfac yet support new aspect aspectj compil option need ad interfac old renam option deprec correct process need happen within ajd pa option compil enhanc need variou ide project aspect aspectj support,enhancement,enhancement
29769,aspectj ajd build option adapt buildoptionsadapt interfac yet support new aspect aspectj compil option need ad interfac old renam option deprec correct process need happen within ajd pa option compil enhanc need variou ide project aspect aspectj support,enhancement,enhancement
29769,aspectj ajd build option adapt buildoptionsadapt interfac yet support new aspect aspectj compil option need ad interfac old renam option deprec correct process need happen within ajd pa option compil enhanc need variou ide project aspect aspectj support,enhancement,enhancement
29769,aspectj ajd build option adapt buildoptionsadapt interfac yet support new aspect aspectj compil option need ad interfac old renam option deprec correct process need happen within ajd pa option compil enhanc need variou ide project aspect aspectj support,enhancement,enhancement
29769,aspectj ajd build option adapt buildoptionsadapt interfac yet support new aspect aspectj compil option need ad interfac old renam option deprec correct process need happen within ajd pa option compil enhanc need variou ide project aspect aspectj support,enhancement,enhancement
29769,aspectj ajd build option adapt buildoptionsadapt interfac yet support new aspect aspectj compil option need ad interfac old renam option deprec correct process need happen within ajd pa option compil enhanc need variou ide project aspect aspectj support,enhancement,enhancement
29934,program run produc null pointer except nullpointerexcept java lang null pointer except nullpointerexcept a2 ajc around a2 3b6proce cflow cycl cflowcycl java a2 ajc around a2 3b6 around body3 aroundbody3 cflow cycl cflowcycl java target run cflow cycl cflowcycl java cflow cycl cflowcycl run around body4 aroundbody4 cflow cycl cflowcycl java cflow cycl cflowcycl main around body6 aroundbody6 cflow cycl cflowcycl java cflow cycl cflowcycl main cflow cycl cflowcycl java new cflow cycl cflowcycl java ajc test fail ajctestsfail xml import aspectj test tester testcas cflow cycl advic differ aspect public class cflow cycl cflowcycl public static void main string arg tester expect event expectev target a1 tester expect event expectev target a2 new target run tester check all event ignor dup checkalleventsignoredup class target public void run aspect a1 pointcut target run flow targetrunflow ok cflow within target execut within a1 within a1 preiniti new initi new cflow within target execut within a1 object around target run flow targetrunflow tester event target a1 return proceed ok class aspect a2 pointcut target run targetrun within target execut within a2 object around target run targetrun tester event target a2 return proceed,major,severe
29959,aspect aspectj compil 1beta4 program aspect foo void foo void foo super foo class class extend class main public static void main string arg new caus error runtim except thread main java lang verifi error verifyerror class method ajc super dispatch superdispatch foo signatur illeg use nonvirtu function call main main foo java note foo never even call error happen load time new express caus class load error either one foo method declar class directli kind showstopp doug,blocker,severe
29959,aspect aspectj compil 1beta4 program aspect foo void foo void foo super foo class class extend class main public static void main string arg new caus error runtim except thread main java lang verifi error verifyerror class method ajc super dispatch superdispatch foo signatur illeg use nonvirtu function call main main foo java note foo never even call error happen load time new express caus class load error either one foo method declar class directli kind showstopp doug,blocker,severe
29959,aspect aspectj compil 1beta4 program aspect foo void foo void foo super foo class class extend class main public static void main string arg new caus error runtim except thread main java lang verifi error verifyerror class method ajc super dispatch superdispatch foo signatur illeg use nonvirtu function call main main foo java note foo never even call error happen load time new express caus class load error either one foo method declar class directli kind showstopp doug,blocker,severe
30168,,normal,non-severe
30439,aspect aspectj compil 1beta4 program aspect foo pointcut p1 execut void cflow execut void f1 pointcut p2 execut void cflow execut void f2 p1 p1 p2 p2 class void f1 void f2 void result error circular depend method execut methodexecut void circular depend method execut methodexecut void circular depend method execut methodexecut void circular depend method execut methodexecut void error comment one four piec advic error go away assum valid reason print error sometim line number doug,minor,non-severe
30439,aspect aspectj compil 1beta4 program aspect foo pointcut p1 execut void cflow execut void f1 pointcut p2 execut void cflow execut void f2 p1 p1 p2 p2 class void f1 void f2 void result error circular depend method execut methodexecut void circular depend method execut methodexecut void circular depend method execut methodexecut void circular depend method execut methodexecut void error comment one four piec advic error go away assum valid reason print error sometim line number doug,minor,non-severe
30439,aspect aspectj compil 1beta4 program aspect foo pointcut p1 execut void cflow execut void f1 pointcut p2 execut void cflow execut void f2 p1 p1 p2 p2 class void f1 void f2 void result error circular depend method execut methodexecut void circular depend method execut methodexecut void circular depend method execut methodexecut void circular depend method execut methodexecut void error comment one four piec advic error go away assum valid reason print error sometim line number doug,minor,non-severe
30439,aspect aspectj compil 1beta4 program aspect foo pointcut p1 execut void cflow execut void f1 pointcut p2 execut void cflow execut void f2 p1 p1 p2 p2 class void f1 void f2 void result error circular depend method execut methodexecut void circular depend method execut methodexecut void circular depend method execut methodexecut void circular depend method execut methodexecut void error comment one four piec advic error go away assum valid reason print error sometim line number doug,minor,non-severe
30439,aspect aspectj compil 1beta4 program aspect foo pointcut p1 execut void cflow execut void f1 pointcut p2 execut void cflow execut void f2 p1 p1 p2 p2 class void f1 void f2 void result error circular depend method execut methodexecut void circular depend method execut methodexecut void circular depend method execut methodexecut void circular depend method execut methodexecut void error comment one four piec advic error go away assum valid reason print error sometim line number doug,minor,non-severe
30439,aspect aspectj compil 1beta4 program aspect foo pointcut p1 execut void cflow execut void f1 pointcut p2 execut void cflow execut void f2 p1 p1 p2 p2 class void f1 void f2 void result error circular depend method execut methodexecut void circular depend method execut methodexecut void circular depend method execut methodexecut void circular depend method execut methodexecut void error comment one four piec advic error go away assum valid reason print error sometim line number doug,minor,non-severe
30439,aspect aspectj compil 1beta4 program aspect foo pointcut p1 execut void cflow execut void f1 pointcut p2 execut void cflow execut void f2 p1 p1 p2 p2 class void f1 void f2 void result error circular depend method execut methodexecut void circular depend method execut methodexecut void circular depend method execut methodexecut void circular depend method execut methodexecut void error comment one four piec advic error go away assum valid reason print error sometim line number doug,minor,non-severe
30439,aspect aspectj compil 1beta4 program aspect foo pointcut p1 execut void cflow execut void f1 pointcut p2 execut void cflow execut void f2 p1 p1 p2 p2 class void f1 void f2 void result error circular depend method execut methodexecut void circular depend method execut methodexecut void circular depend method execut methodexecut void circular depend method execut methodexecut void error comment one four piec advic error go away assum valid reason print error sometim line number doug,minor,non-severe
30439,aspect aspectj compil 1beta4 program aspect foo pointcut p1 execut void cflow execut void f1 pointcut p2 execut void cflow execut void f2 p1 p1 p2 p2 class void f1 void f2 void result error circular depend method execut methodexecut void circular depend method execut methodexecut void circular depend method execut methodexecut void circular depend method execut methodexecut void error comment one four piec advic error go away assum valid reason print error sometim line number doug,minor,non-severe
30439,aspect aspectj compil 1beta4 program aspect foo pointcut p1 execut void cflow execut void f1 pointcut p2 execut void cflow execut void f2 p1 p1 p2 p2 class void f1 void f2 void result error circular depend method execut methodexecut void circular depend method execut methodexecut void circular depend method execut methodexecut void circular depend method execut methodexecut void error comment one four piec advic error go away assum valid reason print error sometim line number doug,minor,non-severe
30439,aspect aspectj compil 1beta4 program aspect foo pointcut p1 execut void cflow execut void f1 pointcut p2 execut void cflow execut void f2 p1 p1 p2 p2 class void f1 void f2 void result error circular depend method execut methodexecut void circular depend method execut methodexecut void circular depend method execut methodexecut void circular depend method execut methodexecut void error comment one four piec advic error go away assum valid reason print error sometim line number doug,minor,non-severe
30439,aspect aspectj compil 1beta4 program aspect foo pointcut p1 execut void cflow execut void f1 pointcut p2 execut void cflow execut void f2 p1 p1 p2 p2 class void f1 void f2 void result error circular depend method execut methodexecut void circular depend method execut methodexecut void circular depend method execut methodexecut void circular depend method execut methodexecut void error comment one four piec advic error go away assum valid reason print error sometim line number doug,minor,non-severe
30439,aspect aspectj compil 1beta4 program aspect foo pointcut p1 execut void cflow execut void f1 pointcut p2 execut void cflow execut void f2 p1 p1 p2 p2 class void f1 void f2 void result error circular depend method execut methodexecut void circular depend method execut methodexecut void circular depend method execut methodexecut void circular depend method execut methodexecut void error comment one four piec advic error go away assum valid reason print error sometim line number doug,minor,non-severe
30439,aspect aspectj compil 1beta4 program aspect foo pointcut p1 execut void cflow execut void f1 pointcut p2 execut void cflow execut void f2 p1 p1 p2 p2 class void f1 void f2 void result error circular depend method execut methodexecut void circular depend method execut methodexecut void circular depend method execut methodexecut void circular depend method execut methodexecut void error comment one four piec advic error go away assum valid reason print error sometim line number doug,minor,non-severe
30439,aspect aspectj compil 1beta4 program aspect foo pointcut p1 execut void cflow execut void f1 pointcut p2 execut void cflow execut void f2 p1 p1 p2 p2 class void f1 void f2 void result error circular depend method execut methodexecut void circular depend method execut methodexecut void circular depend method execut methodexecut void circular depend method execut methodexecut void error comment one four piec advic error go away assum valid reason print error sometim line number doug,minor,non-severe
30439,aspect aspectj compil 1beta4 program aspect foo pointcut p1 execut void cflow execut void f1 pointcut p2 execut void cflow execut void f2 p1 p1 p2 p2 class void f1 void f2 void result error circular depend method execut methodexecut void circular depend method execut methodexecut void circular depend method execut methodexecut void circular depend method execut methodexecut void error comment one four piec advic error go away assum valid reason print error sometim line number doug,minor,non-severe
30439,aspect aspectj compil 1beta4 program aspect foo pointcut p1 execut void cflow execut void f1 pointcut p2 execut void cflow execut void f2 p1 p1 p2 p2 class void f1 void f2 void result error circular depend method execut methodexecut void circular depend method execut methodexecut void circular depend method execut methodexecut void circular depend method execut methodexecut void error comment one four piec advic error go away assum valid reason print error sometim line number doug,minor,non-severe
30439,aspect aspectj compil 1beta4 program aspect foo pointcut p1 execut void cflow execut void f1 pointcut p2 execut void cflow execut void f2 p1 p1 p2 p2 class void f1 void f2 void result error circular depend method execut methodexecut void circular depend method execut methodexecut void circular depend method execut methodexecut void circular depend method execut methodexecut void error comment one four piec advic error go away assum valid reason print error sometim line number doug,minor,non-severe
30439,aspect aspectj compil 1beta4 program aspect foo pointcut p1 execut void cflow execut void f1 pointcut p2 execut void cflow execut void f2 p1 p1 p2 p2 class void f1 void f2 void result error circular depend method execut methodexecut void circular depend method execut methodexecut void circular depend method execut methodexecut void circular depend method execut methodexecut void error comment one four piec advic error go away assum valid reason print error sometim line number doug,minor,non-severe
30439,aspect aspectj compil 1beta4 program aspect foo pointcut p1 execut void cflow execut void f1 pointcut p2 execut void cflow execut void f2 p1 p1 p2 p2 class void f1 void f2 void result error circular depend method execut methodexecut void circular depend method execut methodexecut void circular depend method execut methodexecut void circular depend method execut methodexecut void error comment one four piec advic error go away assum valid reason print error sometim line number doug,minor,non-severe
30439,aspect aspectj compil 1beta4 program aspect foo pointcut p1 execut void cflow execut void f1 pointcut p2 execut void cflow execut void f2 p1 p1 p2 p2 class void f1 void f2 void result error circular depend method execut methodexecut void circular depend method execut methodexecut void circular depend method execut methodexecut void circular depend method execut methodexecut void error comment one four piec advic error go away assum valid reason print error sometim line number doug,minor,non-severe
30439,aspect aspectj compil 1beta4 program aspect foo pointcut p1 execut void cflow execut void f1 pointcut p2 execut void cflow execut void f2 p1 p1 p2 p2 class void f1 void f2 void result error circular depend method execut methodexecut void circular depend method execut methodexecut void circular depend method execut methodexecut void circular depend method execut methodexecut void error comment one four piec advic error go away assum valid reason print error sometim line number doug,minor,non-severe
30439,aspect aspectj compil 1beta4 program aspect foo pointcut p1 execut void cflow execut void f1 pointcut p2 execut void cflow execut void f2 p1 p1 p2 p2 class void f1 void f2 void result error circular depend method execut methodexecut void circular depend method execut methodexecut void circular depend method execut methodexecut void circular depend method execut methodexecut void error comment one four piec advic error go away assum valid reason print error sometim line number doug,minor,non-severe
30663,aspect aspectj compil 1beta4 program public aspect foo pointcut int call void produc error messag negat doesn allow bind formal unbound pointcut error say someth like bind allow state base statebas pointcut print file line number doug,trivial,non-severe
30663,aspect aspectj compil 1beta4 program public aspect foo pointcut int call void produc error messag negat doesn allow bind formal unbound pointcut error say someth like bind allow state base statebas pointcut print file line number doug,trivial,non-severe
30663,aspect aspectj compil 1beta4 program public aspect foo pointcut int call void produc error messag negat doesn allow bind formal unbound pointcut error say someth like bind allow state base statebas pointcut print file line number doug,trivial,non-severe
31423,pointcut adviceexecut seem pick advic execut join point beta4 program show problem public class public static void main string arg aspect aspect1 execut system println reach thi join point thisjoinpoint aspect aspect2 adviceexecut within aspect2 system println reach thi join point thisjoinpoint aop bug b4 adviceexecut ajc version aspect aspectj compil 1beta4 aop bug b4 adviceexecut ajc java aop bug b4 adviceexecut java reach execut void main string,normal,non-severe
31423,pointcut adviceexecut seem pick advic execut join point beta4 program show problem public class public static void main string arg aspect aspect1 execut system println reach thi join point thisjoinpoint aspect aspect2 adviceexecut within aspect2 system println reach thi join point thisjoinpoint aop bug b4 adviceexecut ajc version aspect aspectj compil 1beta4 aop bug b4 adviceexecut ajc java aop bug b4 adviceexecut java reach execut void main string,normal,non-severe
31460,hi discuss mail list day ago implement weav class loader enabl bytecod base weav class load time class loader base class loader urlclassload use like class loader urlclassload addit add aspect weav loader aspect got woven class load case class loader aren implement yet still think implement contribut later okay martin,enhancement,enhancement
32239,,critical,severe
32239,,critical,severe
32421,may caus file transact test transactiontest java import sub execut monitor executionmonitor public class transact test transactiontest static transact the transact thetransact privat void assert commit assertcommit the transact thetransact get count getcount method execut methodexecut commit static aspect monitor test monitortest declar parent transact implement execut monitor executionmonitor monitor item monitoreditem class transact file sub execut monitor executionmonitor aj packag sub public aspect execut monitor executionmonitor public interfac monitor item monitoreditem int get count getcount string event type eventtyp string event name eventnam public int monitor item monitoreditem get count getcount string event type eventtyp string event name eventnam return sampl compil devel ajc transact test transactiontest java sub execut monitor executionmonitor aj bind type name execut monitor executionmonitor monitor item monitoreditem devel transact test transactiontest java method get count getcount java lang string java lang string undefin type transact the transact thetransact get count getcount method execut methodexecut commit error,critical,severe
32463,version aspect aspectj compil 1beta4 ajc compil issu spuriou error messag exit neg error code weav code contain static declar nest class compil seem write classfil correctli neg exit statu caus problem use ajc compil adapt ajccompileradapt ant reproduc extract follow two file empti directori file aj aspect pointcut within test withintest within pointcut call to handl order calltohandleord within test withintest call handl order handleord object around call to handl order calltohandleord return dummi insert aspect file aj file java public class comment static declar make everyth work ok static class static nest class staticnestedclass public static void main string arg system println new handl order handleord privat string handl order handleord string return java compil file ajc sourceroot verbos output compil aspectj1 doc exampl aj compil aspectj1 doc exampl java weav might need weav unwoven class file unwovenclassfil null static nest class staticnestedclass unwoven class file unwovenclassfil null unwoven class file unwovenclassfil null world true wrote class file aspectj1 doc exampl class find type wrote class file aspectj1 doc exampl static nest class staticnestedclass class wrote class file aspectj1 doc exampl class error,normal,non-severe
32463,version aspect aspectj compil 1beta4 ajc compil issu spuriou error messag exit neg error code weav code contain static declar nest class compil seem write classfil correctli neg exit statu caus problem use ajc compil adapt ajccompileradapt ant reproduc extract follow two file empti directori file aj aspect pointcut within test withintest within pointcut call to handl order calltohandleord within test withintest call handl order handleord object around call to handl order calltohandleord return dummi insert aspect file aj file java public class comment static declar make everyth work ok static class static nest class staticnestedclass public static void main string arg system println new handl order handleord privat string handl order handleord string return java compil file ajc sourceroot verbos output compil aspectj1 doc exampl aj compil aspectj1 doc exampl java weav might need weav unwoven class file unwovenclassfil null static nest class staticnestedclass unwoven class file unwovenclassfil null unwoven class file unwovenclassfil null world true wrote class file aspectj1 doc exampl class find type wrote class file aspectj1 doc exampl static nest class staticnestedclass class wrote class file aspectj1 doc exampl class error,normal,non-severe
32463,version aspect aspectj compil 1beta4 ajc compil issu spuriou error messag exit neg error code weav code contain static declar nest class compil seem write classfil correctli neg exit statu caus problem use ajc compil adapt ajccompileradapt ant reproduc extract follow two file empti directori file aj aspect pointcut within test withintest within pointcut call to handl order calltohandleord within test withintest call handl order handleord object around call to handl order calltohandleord return dummi insert aspect file aj file java public class comment static declar make everyth work ok static class static nest class staticnestedclass public static void main string arg system println new handl order handleord privat string handl order handleord string return java compil file ajc sourceroot verbos output compil aspectj1 doc exampl aj compil aspectj1 doc exampl java weav might need weav unwoven class file unwovenclassfil null static nest class staticnestedclass unwoven class file unwovenclassfil null unwoven class file unwovenclassfil null world true wrote class file aspectj1 doc exampl class find type wrote class file aspectj1 doc exampl static nest class staticnestedclass class wrote class file aspectj1 doc exampl class error,normal,non-severe
32463,version aspect aspectj compil 1beta4 ajc compil issu spuriou error messag exit neg error code weav code contain static declar nest class compil seem write classfil correctli neg exit statu caus problem use ajc compil adapt ajccompileradapt ant reproduc extract follow two file empti directori file aj aspect pointcut within test withintest within pointcut call to handl order calltohandleord within test withintest call handl order handleord object around call to handl order calltohandleord return dummi insert aspect file aj file java public class comment static declar make everyth work ok static class static nest class staticnestedclass public static void main string arg system println new handl order handleord privat string handl order handleord string return java compil file ajc sourceroot verbos output compil aspectj1 doc exampl aj compil aspectj1 doc exampl java weav might need weav unwoven class file unwovenclassfil null static nest class staticnestedclass unwoven class file unwovenclassfil null unwoven class file unwovenclassfil null world true wrote class file aspectj1 doc exampl class find type wrote class file aspectj1 doc exampl static nest class staticnestedclass class wrote class file aspectj1 doc exampl class error,normal,non-severe
33635,,critical,severe
34820,,major,severe
34820,,major,severe
34858,,critical,severe
34925,,critical,severe
34925,,critical,severe
34951,compil spacewar without specifi aspectjrt jar classpath caus npe expect error messag aspectjrt jar requir step reproduc instal latest cd doc exampl java jar lib aspectjtool jar verbos spacewar debug lst result npe attach log,normal,non-severe
36046,error occur inter type intertyp declar interfac use declar parent make abstract base class implement tri use declar method fail make base class concret doesn fail follow code demonstr error run java driver get java lang abstract method error abstractmethoderror deriv get execut getexecut ljava lang string driver main driver java except thread main public class driver public static void main string arg deriv gener new deriv system println gener get execut getexecut process event processev static aspect monitor base monitorbas declar parent base implement execut monitor executionmonitor monitor item monitoreditem class deriv extend base public string get name getnam return null abstract class base abstract public string get name getnam aspect execut monitor executionmonitor marker interfac indic execut monitor track call execut class public interfac monitor item monitoreditem int get execut getexecut string method name methodnam map event mutabl integ public int monitor item monitoreditem get execut getexecut string method name methodnam return,major,severe
36046,error occur inter type intertyp declar interfac use declar parent make abstract base class implement tri use declar method fail make base class concret doesn fail follow code demonstr error run java driver get java lang abstract method error abstractmethoderror deriv get execut getexecut ljava lang string driver main driver java except thread main public class driver public static void main string arg deriv gener new deriv system println gener get execut getexecut process event processev static aspect monitor base monitorbas declar parent base implement execut monitor executionmonitor monitor item monitoreditem class deriv extend base public string get name getnam return null abstract class base abstract public string get name getnam aspect execut monitor executionmonitor marker interfac indic execut monitor track call execut class public interfac monitor item monitoreditem int get execut getexecut string method name methodnam map event mutabl integ public int monitor item monitoreditem get execut getexecut string method name methodnam return,major,severe
36046,error occur inter type intertyp declar interfac use declar parent make abstract base class implement tri use declar method fail make base class concret doesn fail follow code demonstr error run java driver get java lang abstract method error abstractmethoderror deriv get execut getexecut ljava lang string driver main driver java except thread main public class driver public static void main string arg deriv gener new deriv system println gener get execut getexecut process event processev static aspect monitor base monitorbas declar parent base implement execut monitor executionmonitor monitor item monitoreditem class deriv extend base public string get name getnam return null abstract class base abstract public string get name getnam aspect execut monitor executionmonitor marker interfac indic execut monitor track call execut class public interfac monitor item monitoreditem int get execut getexecut string method name methodnam map event mutabl integ public int monitor item monitoreditem get execut getexecut string method name methodnam return,major,severe
36234,get memori error compil ajc c1 rc1 know descript mayb point direct get output addit inform though code base medium size classfil remov aspect still receiv error run command line ajc classpath whatever sourceroot whatever whatever,normal,non-severe
36430,,enhancement,enhancement
36430,,enhancement,enhancement
36430,,enhancement,enhancement
36430,,enhancement,enhancement
36430,,enhancement,enhancement
36430,,enhancement,enhancement
36430,,enhancement,enhancement
36430,,enhancement,enhancement
36430,,enhancement,enhancement
36430,,enhancement,enhancement
36430,,enhancement,enhancement
36430,,enhancement,enhancement
36430,,enhancement,enhancement
36430,,enhancement,enhancement
36430,,enhancement,enhancement
36430,,enhancement,enhancement
36564,aspect aspectj get follow intern error use thi join point thisjoinpoint get static part getstaticpart around advic call joinpoit sourc use thi join point thisjoinpoint fine java lang null pointer except nullpointerexcept jdt intern compil ast messag send messagesend analys code analysecod messag send messagesend java jdt intern compil ast messag send messagesend analys code analysecod messag send messagesend java jdt intern compil ast abstract method declar abstractmethoddeclar analys code analysecod abstract method declar abstractmethoddeclar java jdt intern compil ast type declar typedeclar analys code analysecod type declar typedeclar java jdt intern compil ast compil unit declar compilationunitdeclar analys code analysecod compil unit declar compilationunitdeclar java jdt intern compil compil process compil java aspectj ajdt intern compil aj compil ajcompil process aj compil ajcompil java jdt intern compil compil compil compil java jdt intern core builder abstract imag builder abstractimagebuild compil abstract imag builder abstractimagebuild java jdt intern core builder abstract imag builder abstractimagebuild compil abstract imag builder abstractimagebuild java aspectj ajdt intern core builder aj build manag ajbuildmanag batch builder batchbuild run aj build manag ajbuildmanag java aspectj ajdt intern core builder aj build manag ajbuildmanag batch build batchbuild aj build manag ajbuildmanag java aspectj ajd intern compil adapt compileradapt compil compil adapt compileradapt java aspectj ajd intern aspect build manag aspectjbuildmanag compil thread compilerthread run aspect build manag aspectjbuildmanag java except java aspect aspectj bug src compil sourc packag compil import java author websterm chang gener comment go window prefer java code gener code comment public class public static void main string arg throw except file input stream fileinputstream new file input stream fileinputstream creat apr chang gener comment go window prefer java code gener code comment packag compil import java import aspectj lang author websterm chang gener comment go window prefer java code gener code comment public aspect except pointcut except method exceptionmethod call java throw except ioexcept object around throw except ioexcept except method exceptionmethod within except object obj proceed system println thi join point thisjoinpoint get static part getstaticpart return obj,normal,non-severe
36803,iajc expect state resolv got concret iajc expect state resolv got concret iajc aspectj weaver except bcexcept expect state resolv got concret iajc aspectj weaver pattern pointcut assert state assertst pointcut java iajc aspectj weaver pattern pointcut concret pointcut java iajc aspectj weaver pattern cflow pointcut cflowpointcut concretize1 cflow pointcut cflowpointcut java iajc aspectj weaver pattern not pointcut notpointcut concretize1 not pointcut notpointcut java iajc aspectj weaver pattern and pointcut andpointcut concretize1 and pointcut andpointcut java iajc aspectj weaver pattern refer pointcut referencepointcut concretize1 refer pointcut referencepointcut java iajc aspectj weaver pattern and pointcut andpointcut concretize1 and pointcut andpointcut java iajc aspectj weaver pattern refer pointcut referencepointcut concretize1 refer pointcut referencepointcut java iajc aspectj weaver pattern pointcut concret pointcut java iajc aspectj weaver pattern pointcut concret pointcut java iajc aspectj weaver advic concret advic java iajc aspectj weaver crosscut member crosscuttingmemb add shadow munger addshadowmung crosscut member crosscuttingmemb java iajc aspectj weaver crosscut member crosscuttingmemb add shadow munger addshadowmung crosscut member crosscuttingmemb java iajc aspectj weaver resolv type resolvedtypex collect crosscut member collectcrosscuttingmemb resolv type resolvedtypex java iajc aspectj weaver crosscut member set crosscuttingmembersset add or replac aspect addorreplaceaspect crosscut member set crosscuttingmembersset java iajc aspectj weaver bcel bcel weaver bcelweav prepar for weav prepareforweav bcel weaver bcelweav java iajc aspectj weaver bcel bcel weaver bcelweav weav bcel weaver bcelweav java iajc aspectj ajdt intern core builder aj build manag ajbuildmanag weav and gener class file weaveandgenerateclassfil aj build manag ajbuildmanag java iajc aspectj ajdt intern core builder aj build manag ajbuildmanag batch build batchbuild aj build manag ajbuildmanag java iajc aspectj ajdt ajc ajdt command ajdtcommand run command runcommand ajdt command ajdtcommand java iajc aspectj tool ajc main run main java iajc aspectj tool ajc main run main runmain main java iajc aspectj tool ant taskdef ajc task ajctask execut ajc task ajctask java iajc apach tool ant unknown element unknownel execut unknown element unknownel java iajc apach tool ant task perform task java iajc apach tool ant target execut target java iajc apach tool ant target perform task performtask target java iajc apach tool ant project execut target executetarget project java iajc apach tool ant project execut target executetarget project java iajc apach tool ant main run build runbuild main java iajc apach tool ant main start main java iajc apach tool ant main main main java,major,severe
